# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-09-28 21:33:38 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01073500 LAMPREY RIVER NEAR NEWMARKET, NH
# -----------------------------------------------------------------------------------
#
# Data provided for site 01073500
#            TS   parameter     statistic     Description
#         63999       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	63999_00060_00003	63999_00060_00003_cd
5s	15s	20d	14n	10s
USGS	01073500	1934-07-24	25.0	A
USGS	01073500	1934-07-25	25.0	A
USGS	01073500	1934-07-26	25.0	A
USGS	01073500	1934-07-27	29.0	A
USGS	01073500	1934-07-28	34.0	A
USGS	01073500	1934-07-29	42.0	A
USGS	01073500	1934-07-30	39.0	A
USGS	01073500	1934-07-31	37.0	A
USGS	01073500	1934-08-01	35.0	A
USGS	01073500	1934-08-02	33.0	A
USGS	01073500	1934-08-03	33.0	A
USGS	01073500	1934-08-04	33.0	A
USGS	01073500	1934-08-05	31.0	A
USGS	01073500	1934-08-06	28.0	A
USGS	01073500	1934-08-07	27.0	A
USGS	01073500	1934-08-08	25.0	A
USGS	01073500	1934-08-09	25.0	A
USGS	01073500	1934-08-10	24.0	A
USGS	01073500	1934-08-11	23.0	A
USGS	01073500	1934-08-12	23.0	A
USGS	01073500	1934-08-13	23.0	A
USGS	01073500	1934-08-14	23.0	A
USGS	01073500	1934-08-15	22.0	A
USGS	01073500	1934-08-16	22.0	A
USGS	01073500	1934-08-17	67.0	A
USGS	01073500	1934-08-18	34.0	A
USGS	01073500	1934-08-19	22.0	A
USGS	01073500	1934-08-20	21.0	A
USGS	01073500	1934-08-21	20.0	A
USGS	01073500	1934-08-22	21.0	A
USGS	01073500	1934-08-23	10.0	A
USGS	01073500	1934-08-24	3.00	A
USGS	01073500	1934-08-25	3.00	A
USGS	01073500	1934-08-26	45.0	A
USGS	01073500	1934-08-27	66.0	A
USGS	01073500	1934-08-28	184	A
USGS	01073500	1934-08-29	189	A
USGS	01073500	1934-08-30	181	A
USGS	01073500	1934-08-31	179	A
USGS	01073500	1934-09-01	170	A
USGS	01073500	1934-09-02	167	A
USGS	01073500	1934-09-03	162	A
USGS	01073500	1934-09-04	133	A
USGS	01073500	1934-09-05	121	A
USGS	01073500	1934-09-06	111	A
USGS	01073500	1934-09-07	103	A
USGS	01073500	1934-09-08	90.0	A
USGS	01073500	1934-09-09	136	A
USGS	01073500	1934-09-10	133	A
USGS	01073500	1934-09-11	121	A
USGS	01073500	1934-09-12	130	A
USGS	01073500	1934-09-13	140	A
USGS	01073500	1934-09-14	139	A
USGS	01073500	1934-09-15	132	A
USGS	01073500	1934-09-16	126	A
USGS	01073500	1934-09-17	140	A
USGS	01073500	1934-09-18	260	A
USGS	01073500	1934-09-19	345	A
USGS	01073500	1934-09-20	497	A
USGS	01073500	1934-09-21	398	A
USGS	01073500	1934-09-22	262	A
USGS	01073500	1934-09-23	222	A
USGS	01073500	1934-09-24	191	A
USGS	01073500	1934-09-25	156	A
USGS	01073500	1934-09-26	133	A
USGS	01073500	1934-09-27	118	A
USGS	01073500	1934-09-28	104	A
USGS	01073500	1934-09-29	94.0	A
USGS	01073500	1934-09-30	154	A
USGS	01073500	1934-10-01	207	A
USGS	01073500	1934-10-02	269	A
USGS	01073500	1934-10-03	271	A
USGS	01073500	1934-10-04	220	A
USGS	01073500	1934-10-05	177	A
USGS	01073500	1934-10-06	176	A
USGS	01073500	1934-10-07	239	A
USGS	01073500	1934-10-08	250	A
USGS	01073500	1934-10-09	264	A
USGS	01073500	1934-10-10	222	A
USGS	01073500	1934-10-11	188	A
USGS	01073500	1934-10-12	172	A
USGS	01073500	1934-10-13	165	A
USGS	01073500	1934-10-14	172	A
USGS	01073500	1934-10-15	172	A
USGS	01073500	1934-10-16	172	A
USGS	01073500	1934-10-17	164	A
USGS	01073500	1934-10-18	157	A
USGS	01073500	1934-10-19	145	A
USGS	01073500	1934-10-20	136	A
USGS	01073500	1934-10-21	127	A
USGS	01073500	1934-10-22	136	A
USGS	01073500	1934-10-23	164	A
USGS	01073500	1934-10-24	181	A
USGS	01073500	1934-10-25	181	A
USGS	01073500	1934-10-26	170	A
USGS	01073500	1934-10-27	161	A
USGS	01073500	1934-10-28	157	A
USGS	01073500	1934-10-29	157	A
USGS	01073500	1934-10-30	159	A
USGS	01073500	1934-10-31	145	A
USGS	01073500	1934-11-01	153	A
USGS	01073500	1934-11-02	202	A
USGS	01073500	1934-11-03	209	A
USGS	01073500	1934-11-04	220	A
USGS	01073500	1934-11-05	239	A
USGS	01073500	1934-11-06	260	A
USGS	01073500	1934-11-07	385	A
USGS	01073500	1934-11-08	358	A
USGS	01073500	1934-11-09	345	A
USGS	01073500	1934-11-10	297	A
USGS	01073500	1934-11-11	282	A
USGS	01073500	1934-11-12	278	A
USGS	01073500	1934-11-13	271	A
USGS	01073500	1934-11-14	260	A
USGS	01073500	1934-11-15	239	A
USGS	01073500	1934-11-16	213	A
USGS	01073500	1934-11-17	202	A
USGS	01073500	1934-11-18	195	A
USGS	01073500	1934-11-19	188	A
